form	lexeme	cell
d e s t j e r r a	desterr	3sgPres
d e s t e r r a m o s	desterr	1plPres
d e s t e r r a i s	desterr	2plPres
i g n o r o	ignor	1sgPres
i g n o r a s	ignor	2sgPres
i g n o r a n	ignor	3plPres
i g n o r a	ignor	3sgPres
i g n o r a m o s	ignor	1plPres
i g n o r a i s	ignor	2plPres
k w e s t o	kost	1sgPres
k w e s t a s	kost	2sgPres
k w e s t a n	kost	3plPres
k w e s t a	kost	3sgPres
k o s t a m o s	kost	1plPres
k o s t a i s	kost	2plPres
d e s k o m p o N g o	deskompon	1sgPres
d e s k o m p o n e s	deskompon	2sgPres
d e s k o m p o n e n	deskompon	3plPres
d e s k o m p o n e	deskompon	3sgPres
d e s k o m p o n e m o s	deskompon	1plPres
d e s k o m p o n e i s	deskompon	2plPres
i n t e r b e N g o	interben	1sgPres
i n t e r b j e n e s	interben	2sgPres
i n t e r b j e n e n	interben	3plPres
i n t e r b j e n e	interben	3sgPres
i n t e r b e n i m o s	interben	1plPres
i n t e r b e n i s	interben	2plPres
f a t i g o	fatig	1sgPres
f a t i g a s	fatig	2sgPres
f a t i g a n	fatig	3plPres
f a t i g a	fatig	3sgPres
f a t i g a m o s	fatig	1plPres
f a t i g a i s	fatig	2plPres
t r a d u s k o	tradus	1sgPres
t r a d u s e s	tradus	2sgPres
t r a d u s e n	tradus	3plPres
t r a d u s e	tradus	3sgPres
t r a d u s i m o s	tradus	1plPres
t r a d u s i s	tradus	2plPres
a l i m e n t o	aliment	1sgPres
a l i m e n t a s	aliment	2sgPres
a l i m e n t a n	aliment	3plPres
a l i m e n t a	aliment	3sgPres
a l i m e n t a m o s	aliment	1plPres
a l i m e n t a i s	aliment	2plPres
d i f u n d o	difund	1sgPres
d i f u n d e s	difund	2sgPres
d i f u n d e n	difund	3plPres
d i f u n d e	difund	3sgPres
d i f u n d i m o s	difund	1plPres
d i f u n d i s	difund	2plPres
a m e n a s o	amenas	1sgPres
a m e n a s a s	amenas	2sgPres
a m e n a s a n	amenas	3plPres
a m e n a s a	amenas	3sgPres
a m e n a s a m o s	amenas	1plPres
a m e n a s a i s	amenas	2plPres
i n f u n d o	infund	1sgPres
i n f u n d e s	infund	2sgPres
i n f u n d e n	infund	3plPres
i n f u n d e	infund	3sgPres
i n f u n d i m o s	infund	1plPres
i n f u n d i s	infund	2plPres
k o n f j e r o	konfer	1sgPres
k o n f j e r e s	konfer	2sgPres
k o n f j e r e n	konfer	3plPres
k o n f j e r e	konfer	3sgPres
k o n f e r i m o s	konfer	1plPres
k o n f e r i s	konfer	2plPres
a k e x o	akex	1sgPres
a k e x a s	akex	2sgPres
a k e x a n	akex	3plPres
a k e x a	akex	3sgPres
a k e x a m o s	akex	1plPres
a k e x a i s	akex	2plPres
f a s i l i t o	fasilit	1sgPres
f a s i l i t a s	fasilit	2sgPres
f a s i l i t a n	fasilit	3plPres
f a s i l i t a	fasilit	3sgPres
f a s i l i t a m o s	fasilit	1plPres
f a s i l i t a i s	fasilit	2plPres
a n u n s j o	anunsj	1sgPres
a n u n s j a s	anunsj	2sgPres
a n u n s j a n	anunsj	3plPres
a n u n s j a	anunsj	3sgPres
a n u n s j a m o s	anunsj	1plPres
a n u n s j a i s	anunsj	2plPres
r e s u l t o	result	1sgPres
r e s u l t a s	result	2sgPres
r e s u l t a n	result	3plPres
r e s u l t a	result	3sgPres
r e s u l t a m o s	result	1plPres
r e s u l t a i s	result	2plPres
m w e s t r o	mostr	1sgPres
m w e s t r a s	mostr	2sgPres
m w e s t r a n	mostr	3plPres
m w e s t r a	mostr	3sgPres
m o s t r a m o s	mostr	1plPres
m o s t r a i s	mostr	2plPres
s u s t e n t o	sustent	1sgPres
s u s t e n t a s	sustent	2sgPres
s u s t e n t a n	sustent	3plPres
s u s t e n t a	sustent	3sgPres
s u s t e n t a m o s	sustent	1plPres
s u s t e n t a i s	sustent	2plPres
s e r t i f i k o	sertifik	1sgPres
s e r t i f i k a s	sertifik	2sgPres
s e r t i f i k a n	sertifik	3plPres
s e r t i f i k a	sertifik	3sgPres
s e r t i f i k a m o s	sertifik	1plPres
s e r t i f i k a i s	sertifik	2plPres
d j a l o g o	djalog	1sgPres
d j a l o g a s	djalog	2sgPres
d j a l o g a n	djalog	3plPres
d j a l o g a	djalog	3sgPres
d j a l o g a m o s	djalog	1plPres
d j a l o g a i s	djalog	2plPres
a n t i s i p o	antisip	1sgPres
a n t i s i p a s	antisip	2sgPres
a n t i s i p a n	antisip	3plPres
a n t i s i p a	antisip	3sgPres
a n t i s i p a m o s	antisip	1plPres
a n t i s i p a i s	antisip	2plPres
r e u n o	reun	1sgPres
r e u n e s	reun	2sgPres
r e u n e n	reun	3plPres
r e u n e	reun	3sgPres
r e u n i m o s	reun	1plPres
r e u n i s	reun	2plPres
d e s k o n s j e r t o	deskonsert	1sgPres
d e s k o n s j e r t a s	deskonsert	2sgPres
d e s k o n s j e r t a n	deskonsert	3plPres
d e s k o n s j e r t a	deskonsert	3sgPres
d e s k o n s e r t a m o s	deskonsert	1plPres
d e s k o n s e r t a i s	deskonsert	2plPres
a p r o b e C o	aprobeC	1sgPres
a p r o b e C a s	aprobeC	2sgPres
a p r o b e C a n	aprobeC	3plPres
a p r o b e C a	aprobeC	3sgPres
a p r o b e C a m o s	aprobeC	1plPres
a p r o b e C a i s	aprobeC	2plPres
i n f e k t o	infekt	1sgPres
i n f e k t a s	infekt	2sgPres
i n f e k t a n	infekt	3plPres
i n f e k t a	infekt	3sgPres
i n f e k t a m o s	infekt	1plPres
i n f e k t a i s	infekt	2plPres
t a p o	tap	1sgPres
t a p a s	tap	2sgPres
t a p a n	tap	3plPres
t a p a	tap	3sgPres
t a p a m o s	tap	1plPres
t a p a i s	tap	2plPres
a k u d o	akud	1sgPres
a k u d e s	akud	2sgPres
a k u d e n	akud	3plPres
a k u d e	akud	3sgPres
a k u d i m o s	akud	1plPres
a k u d i s	akud	2plPres
b a s o	bas	1sgPres
b a s a s	bas	2sgPres
b a s a n	bas	3plPres
b a s a	bas	3sgPres
b a s a m o s	bas	1plPres
b a s a i s	bas	2plPres
i n d u s k o	indus	1sgPres
i n d u s e s	indus	2sgPres
i n d u s e n	indus	3plPres
i n d u s e	indus	3sgPres
i n d u s i m o s	indus	1plPres
i n d u s i s	indus	2plPres
t r a s p l a n t o	trasplant	1sgPres
t r a s p l a n t a s	trasplant	2sgPres
t r a s p l a n t a n	trasplant	3plPres
t r a s p l a n t a	trasplant	3sgPres
t r a s p l a n t a m o s	trasplant	1plPres
t r a s p l a n t a i s	trasplant	2plPres
d i s m i n u j o	disminw	1sgPres
d i s m i n u j e s	disminw	2sgPres
d i s m i n u j e n	disminw	3plPres
d i s m i n u j e	disminw	3sgPres
d i s m i n w i m o s	disminw	1plPres
d i s m i n w i s	disminw	2plPres
e n f r e n t o	enfrent	1sgPres
e n f r e n t a s	enfrent	2sgPres
e n f r e n t a n	enfrent	3plPres
e n f r e n t a	enfrent	3sgPres
e n f r e n t a m o s	enfrent	1plPres
e n f r e n t a i s	enfrent	2plPres
d i s k u l p o	diskulp	1sgPres
d i s k u l p a s	diskulp	2sgPres
d i s k u l p a n	diskulp	3plPres
d i s k u l p a	diskulp	3sgPres
d i s k u l p a m o s	diskulp	1plPres
d i s k u l p a i s	diskulp	2plPres
d e s e m p e ñ o	desempeñ	1sgPres
d e s e m p e ñ a s	desempeñ	2sgPres
d e s e m p e ñ a n	desempeñ	3plPres
d e s e m p e ñ a	desempeñ	3sgPres
d e s e m p e ñ a m o s	desempeñ	1plPres
d e s e m p e ñ a i s	desempeñ	2plPres
f r e k w e n t o	frekwent	1sgPres
f r e k w e n t a s	frekwent	2sgPres
f r e k w e n t a n	frekwent	3plPres
f r e k w e n t a	frekwent	3sgPres
f r e k w e n t a m o s	frekwent	1plPres
f r e k w e n t a i s	frekwent	2plPres
k o l e k s j o n o	koleksjon	1sgPres
k o l e k s j o n a s	koleksjon	2sgPres
k o l e k s j o n a n	koleksjon	3plPres
k o l e k s j o n a	koleksjon	3sgPres
k o l e k s j o n a m o s	koleksjon	1plPres
k o l e k s j o n a i s	koleksjon	2plPres
p u l s o	puls	1sgPres
p u l s a s	puls	2sgPres
p u l s a n	puls	3plPres
p u l s a	puls	3sgPres
p u l s a m o s	puls	1plPres
p u l s a i s	puls	2plPres
b e s o	bes	1sgPres
b e s a s	bes	2sgPres
b e s a n	bes	3plPres
b e s a	bes	3sgPres
b e s a m o s	bes	1plPres
b e s a i s	bes	2plPres
m a r k o	mark	1sgPres
m a r k a s	mark	2sgPres
m a r k a n	mark	3plPres
m a r k a	mark	3sgPres
m a r k a m o s	mark	1plPres
m a r k a i s	mark	2plPres
x u b i l o	xubil	1sgPres
x u b i l a s	xubil	2sgPres
x u b i l a n	xubil	3plPres
x u b i l a	xubil	3sgPres
x u b i l a m o s	xubil	1plPres
x u b i l a i s	xubil	2plPres
i n f o r m o	inform	1sgPres
i n f o r m a s	inform	2sgPres
i n f o r m a n	inform	3plPres
i n f o r m a	inform	3sgPres
i n f o r m a m o s	inform	1plPres
i n f o r m a i s	inform	2plPres
k a j o	kaj	1sgPres
k a j a s	kaj	2sgPres
k a j a n	kaj	3plPres
k a j a	kaj	3sgPres
k a j a m o s	kaj	1plPres
k a j a i s	kaj	2plPres
o k a s j o n o	okasjon	1sgPres
o k a s j o n a s	okasjon	2sgPres
o k a s j o n a n	okasjon	3plPres
o k a s j o n a	okasjon	3sgPres
o k a s j o n a m o s	okasjon	1plPres
o k a s j o n a i s	okasjon	2plPres
d e s i g n o	design	1sgPres
d e s i g n a s	design	2sgPres
d e s i g n a n	design	3plPres
d e s i g n a	design	3sgPres
d e s i g n a m o s	design	1plPres
d e s i g n a i s	design	2plPres
e n s u s j o	ensusj	1sgPres
e n s u s j a s	ensusj	2sgPres
e n s u s j a n	ensusj	3plPres
e n s u s j a	ensusj	3sgPres
e n s u s j a m o s	ensusj	1plPres
e n s u s j a i s	ensusj	2plPres
m a s t i k o	mastik	1sgPres
m a s t i k a s	mastik	2sgPres
m a s t i k a n	mastik	3plPres
m a s t i k a	mastik	3sgPres
m a s t i k a m o s	mastik	1plPres
m a s t i k a i s	mastik	2plPres
g u s t o	gust	1sgPres
g u s t a s	gust	2sgPres
g u s t a n	gust	3plPres
g u s t a	gust	3sgPres
g u s t a m o s	gust	1plPres
g u s t a i s	gust	2plPres
w e j o	oj	1sgPres
w e j a s	oj	2sgPres
w e j a n	oj	3plPres
w e j a	oj	3sgPres
o j a m o s	oj	1plPres
o j a i s	oj	2plPres
k o n s i g o	konseg	1sgPres
k o n s i g e s	konseg	2sgPres
k o n s i g e n	konseg	3plPres
k o n s i g e	konseg	3sgPres
k o n s e g i m o s	konseg	1plPres
k o n s e g i s	konseg	2plPres
n o t o	not	1sgPres
n o t a s	not	2sgPres
n o t a n	not	3plPres
n o t a	not	3sgPres
n o t a m o s	not	1plPres
n o t a i s	not	2plPres
s a s j o	sasj	1sgPres
s a s j a s	sasj	2sgPres
s a s j a n	sasj	3plPres
s a s j a	sasj	3sgPres
s a s j a m o s	sasj	1plPres
s a s j a i s	sasj	2plPres
b a r a x o	barax	1sgPres
b a r a x a s	barax	2sgPres
b a r a x a n	barax	3plPres
b a r a x a	barax	3sgPres
b a r a x a m o s	barax	1plPres
b a r a x a i s	barax	2plPres
k u n d o	kund	1sgPres
k u n d e s	kund	2sgPres
k u n d e n	kund	3plPres
k u n d e	kund	3sgPres
k u n d i m o s	kund	1plPres
k u n d i s	kund	2plPres
r o N k o	roNk	1sgPres
r o N k a s	roNk	2sgPres
r o N k a n	roNk	3plPres
r o N k a	roNk	3sgPres
r o N k a m o s	roNk	1plPres
r o N k a i s	roNk	2plPres
m a n C o	manC	1sgPres
m a n C a s	manC	2sgPres
m a n C a n	manC	3plPres
m a n C a	manC	3sgPres
m a n C a m o s	manC	1plPres
m a n C a i s	manC	2plPres
p r e g u n t o	pregunt	1sgPres
p r e g u n t a s	pregunt	2sgPres
p r e g u n t a n	pregunt	3plPres
p r e g u n t a	pregunt	3sgPres
p r e g u n t a m o s	pregunt	1plPres
p r e g u n t a i s	pregunt	2plPres
d i s p u t o	disput	1sgPres
d i s p u t a s	disput	2sgPres
d i s p u t a n	disput	3plPres
d i s p u t a	disput	3sgPres
d i s p u t a m o s	disput	1plPres
d i s p u t a i s	disput	2plPres
k o r t o	kort	1sgPres
k o r t a s	kort	2sgPres
k o r t a n	kort	3plPres
k o r t a	kort	3sgPres
k o r t a m o s	kort	1plPres
k o r t a i s	kort	2plPres
a s g o	as	1sgPres
a s e s	as	2sgPres
a s e n	as	3plPres
a s e	as	3sgPres
a s i m o s	as	1plPres
a s i s	as	2plPres
r a p o	rap	1sgPres
r a p a s	rap	2sgPres
r a p a n	rap	3plPres
r a p a	rap	3sgPres
r a p a m o s	rap	1plPres
r a p a i s	rap	2plPres
p u b l i k o	publik	1sgPres
p u b l i k a s	publik	2sgPres
p u b l i k a n	publik	3plPres
p u b l i k a	publik	3sgPres
p u b l i k a m o s	publik	1plPres
p u b l i k a i s	publik	2plPres
r e b a x o	rebax	1sgPres
r e b a x a s	rebax	2sgPres
r e b a x a n	rebax	3plPres
r e b a x a	rebax	3sgPres
r e b a x a m o s	rebax	1plPres
r e b a x a i s	rebax	2plPres
r a s t r e o	rastre	1sgPres
r a s t r e a s	rastre	2sgPres
r a s t r e a n	rastre	3plPres
r a s t r e a	rastre	3sgPres
r a s t r e a m o s	rastre	1plPres
r a s t r e a i s	rastre	2plPres
d e s p r o b e o	desprobe	1sgPres
d e s p r o b e e s	desprobe	2sgPres
d e s p r o b e e n	desprobe	3plPres
d e s p r o b e e	desprobe	3sgPres
d e s p r o b e e m o s	desprobe	1plPres
d e s p r o b e e i s	desprobe	2plPres
e s k o x o	eskox	1sgPres
e s k o x e s	eskox	2sgPres
e s k o x e n	eskox	3plPres
e s k o x e	eskox	3sgPres
e s k o x e m o s	eskox	1plPres
e s k o x e i s	eskox	2plPres
p r e g o n o	pregon	1sgPres
p r e g o n a s	pregon	2sgPres
p r e g o n a n	pregon	3plPres
p r e g o n a	pregon	3sgPres
p r e g o n a m o s	pregon	1plPres
p r e g o n a i s	pregon	2plPres
e N g o r d o	eNgord	1sgPres
e N g o r d a s	eNgord	2sgPres
e N g o r d a n	eNgord	3plPres
e N g o r d a	eNgord	3sgPres
e N g o r d a m o s	eNgord	1plPres
e N g o r d a i s	eNgord	2plPres
d e f i n o	defin	1sgPres
d e f i n e s	defin	2sgPres
d e f i n e n	defin	3plPres
d e f i n e	defin	3sgPres
d e f i n i m o s	defin	1plPres
d e f i n i s	defin	2plPres
d e s p e g o	despeg	1sgPres
d e s p e g a s	despeg	2sgPres
d e s p e g a n	despeg	3plPres
d e s p e g a	despeg	3sgPres
d e s p e g a m o s	despeg	1plPres
d e s p e g a i s	despeg	2plPres
j e g o	jeg	1sgPres
j e g a s	jeg	2sgPres
j e g a n	jeg	3plPres
j e g a	jeg	3sgPres
j e g a m o s	jeg	1plPres
j e g a i s	jeg	2plPres
a l t e r o	alter	1sgPres
a l t e r a s	alter	2sgPres
a l t e r a n	alter	3plPres
a l t e r a	alter	3sgPres
a l t e r a m o s	alter	1plPres
a l t e r a i s	alter	2plPres
u j o	w	1sgPres
u j e s	w	2sgPres
u j e n	w	3plPres
u j e	w	3sgPres
w i m o s	w	1plPres
w i s	w	2plPres
r e p r i m o	reprim	1sgPres
r e p r i m e s	reprim	2sgPres
r e p r i m e n	reprim	3plPres
r e p r i m e	reprim	3sgPres
r e p r i m i m o s	reprim	1plPres
r e p r i m i s	reprim	2plPres
r e f j e r o	refer	1sgPres
r e f j e r e s	refer	2sgPres
r e f j e r e n	refer	3plPres
r e f j e r e	refer	3sgPres
r e f e r i m o s	refer	1plPres
r e f e r i s	refer	2plPres
m o b i l i s o	mobilis	1sgPres
m o b i l i s a s	mobilis	2sgPres
m o b i l i s a n	mobilis	3plPres
m o b i l i s a	mobilis	3sgPres
m o b i l i s a m o s	mobilis	1plPres
m o b i l i s a i s	mobilis	2plPres
s u m o	sum	1sgPres
s u m e s	sum	2sgPres
s u m e n	sum	3plPres
s u m e	sum	3sgPres
s u m i m o s	sum	1plPres
s u m i s	sum	2plPres
d i l u j o	dilw	1sgPres
d i l u j e s	dilw	2sgPres
d i l u j e n	dilw	3plPres
d i l u j e	dilw	3sgPres
d i l w i m o s	dilw	1plPres
d i l w i s	dilw	2plPres
k o m p e n s o	kompens	1sgPres
k o m p e n s a s	kompens	2sgPres
k o m p e n s a n	kompens	3plPres
k o m p e n s a	kompens	3sgPres
k o m p e n s a m o s	kompens	1plPres
k o m p e n s a i s	kompens	2plPres
s i g n i f i k o	signifik	1sgPres
s i g n i f i k a s	signifik	2sgPres
s i g n i f i k a n	signifik	3plPres
s i g n i f i k a	signifik	3sgPres
s i g n i f i k a m o s	signifik	1plPres
s i g n i f i k a i s	signifik	2plPres
p r e t e n d o	pretend	1sgPres
p r e t e n d e s	pretend	2sgPres
p r e t e n d e n	pretend	3plPres
p r e t e n d e	pretend	3sgPres
p r e t e n d e m o s	pretend	1plPres
p r e t e n d e i s	pretend	2plPres
d e l e i t o	deleit	1sgPres
d e l e i t a s	deleit	2sgPres
d e l e i t a n	deleit	3plPres
d e l e i t a	deleit	3sgPres
d e l e i t a m o s	deleit	1plPres
d e l e i t a i s	deleit	2plPres
t e r m i n o	termin	1sgPres
t e r m i n a s	termin	2sgPres
t e r m i n a n	termin	3plPres
t e r m i n a	termin	3sgPres
t e r m i n a m o s	termin	1plPres
t e r m i n a i s	termin	2plPres
a n e l o	anel	1sgPres
a n e l a s	anel	2sgPres
a n e l a n	anel	3plPres
a n e l a	anel	3sgPres
a n e l a m o s	anel	1plPres
a n e l a i s	anel	2plPres
x i r o	xir	1sgPres
x i r a s	xir	2sgPres
x i r a n	xir	3plPres
x i r a	xir	3sgPres
x i r a m o s	xir	1plPres
x i r a i s	xir	2plPres
j e l o	el	1sgPres
j e l a s	el	2sgPres
j e l a n	el	3plPres
j e l a	el	3sgPres
e l a m o s	el	1plPres
e l a i s	el	2plPres
n u t r o	nutr	1sgPres
n u t r e s	nutr	2sgPres
n u t r e n	nutr	3plPres
n u t r e	nutr	3sgPres
n u t r i m o s	nutr	1plPres
n u t r i s	nutr	2plPres
d r o g o	drog	1sgPres
d r o g a s	drog	2sgPres
d r o g a n	drog	3plPres
d r o g a	drog	3sgPres
d r o g a m o s	drog	1plPres
d r o g a i s	drog	2plPres
e b i t o	ebit	1sgPres
e b i t a s	ebit	2sgPres
e b i t a n	ebit	3plPres
e b i t a	ebit	3sgPres
e b i t a m o s	ebit	1plPres
e b i t a i s	ebit	2plPres
s u s u r r o	susurr	1sgPres
s u s u r r a s	susurr	2sgPres
s u s u r r a n	susurr	3plPres
s u s u r r a	susurr	3sgPres
s u s u r r a m o s	susurr	1plPres
s u s u r r a i s	susurr	2plPres
a k a b o	akab	1sgPres
a k a b a s	akab	2sgPres
a k a b a n	akab	3plPres
a k a b a	akab	3sgPres
a k a b a m o s	akab	1plPres
a k a b a i s	akab	2plPres
a t r o p e j o	atropej	1sgPres
a t r o p e j a s	atropej	2sgPres
a t r o p e j a n	atropej	3plPres
a t r o p e j a	atropej	3sgPres
a t r o p e j a m o s	atropej	1plPres
a t r o p e j a i s	atropej	2plPres
r e k w e s t o	rekost	1sgPres
r e k w e s t a s	rekost	2sgPres
r e k w e s t a n	rekost	3plPres
r e k w e s t a	rekost	3sgPres
r e k o s t a m o s	rekost	1plPres
r e k o s t a i s	rekost	2plPres
a r r e m e t o	arremet	1sgPres
a r r e m e t e s	arremet	2sgPres
a r r e m e t e n	arremet	3plPres
a r r e m e t e	arremet	3sgPres
a r r e m e t e m o s	arremet	1plPres
a r r e m e t e i s	arremet	2plPres
s i ñ o	señ	1sgPres
s i ñ e s	señ	2sgPres
s i ñ e n	señ	3plPres
s i ñ e	señ	3sgPres
s e ñ i m o s	señ	1plPres
s e ñ i s	señ	2plPres
p a g o	pag	1sgPres
p a g a s	pag	2sgPres
p a g a n	pag	3plPres
p a g a	pag	3sgPres
p a g a m o s	pag	1plPres
p a g a i s	pag	2plPres
k o N k l u j o	koNklw	1sgPres
k o N k l u j e s	koNklw	2sgPres
k o N k l u j e n	koNklw	3plPres
k o N k l u j e	koNklw	3sgPres
k o N k l w i m o s	koNklw	1plPres
k o N k l w i s	koNklw	2plPres
p r e p a r o	prepar	1sgPres
p r e p a r a s	prepar	2sgPres
p r e p a r a n	prepar	3plPres
p r e p a r a	prepar	3sgPres
p r e p a r a m o s	prepar	1plPres
p r e p a r a i s	prepar	2plPres
i n f l u j o	inflw	1sgPres
i n f l u j e s	inflw	2sgPres
i n f l u j e n	inflw	3plPres
i n f l u j e	inflw	3sgPres
i n f l w i m o s	inflw	1plPres
i n f l w i s	inflw	2plPres
e l i x o	elex	1sgPres
e l i x e s	elex	2sgPres
e l i x e n	elex	3plPres
e l i x e	elex	3sgPres
e l e x i m o s	elex	1plPres
e l e x i s	elex	2plPres
k l a r i f i k o	klarifik	1sgPres
k l a r i f i k a s	klarifik	2sgPres
k l a r i f i k a n	klarifik	3plPres
k l a r i f i k a	klarifik	3sgPres
k l a r i f i k a m o s	klarifik	1plPres
k l a r i f i k a i s	klarifik	2plPres
p a l p i t o	palpit	1sgPres
p a l p i t a s	palpit	2sgPres
p a l p i t a n	palpit	3plPres
p a l p i t a	palpit	3sgPres
p a l p i t a m o s	palpit	1plPres
p a l p i t a i s	palpit	2plPres
i m i t o	imit	1sgPres
i m i t a s	imit	2sgPres
i m i t a n	imit	3plPres
i m i t a	imit	3sgPres
i m i t a m o s	imit	1plPres
i m i t a i s	imit	2plPres
k o m p r w e b o	komprob	1sgPres
k o m p r w e b a s	komprob	2sgPres
k o m p r w e b a n	komprob	3plPres
k o m p r w e b a	komprob	3sgPres
k o m p r o b a m o s	komprob	1plPres
k o m p r o b a i s	komprob	2plPres
a s e p t o	asept	1sgPres
a s e p t a s	asept	2sgPres
a s e p t a n	asept	3plPres
a s e p t a	asept	3sgPres
a s e p t a m o s	asept	1plPres
a s e p t a i s	asept	2plPres
b i x i l o	bixil	1sgPres
b i x i l a s	bixil	2sgPres
b i x i l a n	bixil	3plPres
b i x i l a	bixil	3sgPres
b i x i l a m o s	bixil	1plPres
b i x i l a i s	bixil	2plPres
r e e m p l a s o	reemplas	1sgPres
r e e m p l a s a s	reemplas	2sgPres
r e e m p l a s a n	reemplas	3plPres
r e e m p l a s a	reemplas	3sgPres
r e e m p l a s a m o s	reemplas	1plPres
r e e m p l a s a i s	reemplas	2plPres
a w m e n t o	awment	1sgPres
a w m e n t a s	awment	2sgPres
a w m e n t a n	awment	3plPres
a w m e n t a	awment	3sgPres
a w m e n t a m o s	awment	1plPres
a w m e n t a i s	awment	2plPres
a w t o r i s o	awtoris	1sgPres
a w t o r i s a s	awtoris	2sgPres
a w t o r i s a n	awtoris	3plPres
a w t o r i s a	awtoris	3sgPres
a w t o r i s a m o s	awtoris	1plPres
a w t o r i s a i s	awtoris	2plPres
e k s e d o	eksed	1sgPres
e k s e d e s	eksed	2sgPres
e k s e d e n	eksed	3plPres
e k s e d e	eksed	3sgPres
e k s e d e m o s	eksed	1plPres
e k s e d e i s	eksed	2plPres
k o n f i r m o	konfirm	1sgPres
k o n f i r m a s	konfirm	2sgPres
k o n f i r m a n	konfirm	3plPres
k o n f i r m a	konfirm	3sgPres
k o n f i r m a m o s	konfirm	1plPres
k o n f i r m a i s	konfirm	2plPres
f a j o	faj	1sgPres
f a j a s	faj	2sgPres
f a j a n	faj	3plPres
f a j a	faj	3sgPres
f a j a m o s	faj	1plPres
f a j a i s	faj	2plPres
a l e x o	alex	1sgPres
a l e x a s	alex	2sgPres
a l e x a n	alex	3plPres
a l e x a	alex	3sgPres
a l e x a m o s	alex	1plPres
a l e x a i s	alex	2plPres
k o n f j e s o	konfes	1sgPres
k o n f j e s a s	konfes	2sgPres
k o n f j e s a n	konfes	3plPres
k o n f j e s a	konfes	3sgPres
k o n f e s a m o s	konfes	1plPres
k o n f e s a i s	konfes	2plPres
s o s t e N g o	sosten	1sgPres
s o s t j e n e s	sosten	2sgPres
s o s t j e n e n	sosten	3plPres
s o s t j e n e	sosten	3sgPres
s o s t e n e m o s	sosten	1plPres
s o s t e n e i s	sosten	2plPres
f u m o	fum	1sgPres
f u m a s	fum	2sgPres
f u m a n	fum	3plPres
f u m a	fum	3sgPres
f u m a m o s	fum	1plPres
f u m a i s	fum	2plPres
s e k r e t o	sekret	1sgPres
s e k r e t a s	sekret	2sgPres
s e k r e t a n	sekret	3plPres
s e k r e t a	sekret	3sgPres
s e k r e t a m o s	sekret	1plPres
s e k r e t a i s	sekret	2plPres
a g o n i s o	agonis	1sgPres
a g o n i s a s	agonis	2sgPres
a g o n i s a n	agonis	3plPres
a g o n i s a	agonis	3sgPres
a g o n i s a m o s	agonis	1plPres
a g o n i s a i s	agonis	2plPres
a s u m o	asum	1sgPres
a s u m e s	asum	2sgPres
a s u m e n	asum	3plPres
a s u m e	asum	3sgPres
a s u m i m o s	asum	1plPres
a s u m i s	asum	2plPres
d e s i n t e g r o	desintegr	1sgPres
d e s i n t e g r a s	desintegr	2sgPres
d e s i n t e g r a n	desintegr	3plPres
d e s i n t e g r a	desintegr	3sgPres
d e s i n t e g r a m o s	desintegr	1plPres
d e s i n t e g r a i s	desintegr	2plPres
k w o r d i n o	kwordin	1sgPres
k w o r d i n a s	kwordin	2sgPres
k w o r d i n a n	kwordin	3plPres
k w o r d i n a	kwordin	3sgPres
k w o r d i n a m o s	kwordin	1plPres
k w o r d i n a i s	kwordin	2plPres
a b o r r e s k o	aborres	1sgPres
a b o r r e s e s	aborres	2sgPres
a b o r r e s e n	aborres	3plPres
a b o r r e s e	aborres	3sgPres
a b o r r e s e m o s	aborres	1plPres
a b o r r e s e i s	aborres	2plPres
r e n u n s j o	renunsj	1sgPres
r e n u n s j a s	renunsj	2sgPres
r e n u n s j a n	renunsj	3plPres
r e n u n s j a	renunsj	3sgPres
r e n u n s j a m o s	renunsj	1plPres
r e n u n s j a i s	renunsj	2plPres
a b u r r o	aburr	1sgPres
a b u r r e s	aburr	2sgPres
a b u r r e n	aburr	3plPres
a b u r r e	aburr	3sgPres
a b u r r i m o s	aburr	1plPres
a b u r r i s	aburr	2plPres
r e s i d o	resid	1sgPres
r e s i d e s	resid	2sgPres
r e s i d e n	resid	3plPres
r e s i d e	resid	3sgPres
r e s i d i m o s	resid	1plPres
r e s i d i s	resid	2plPres
a l a g o	alag	1sgPres
a l a g a s	alag	2sgPres
a l a g a n	alag	3plPres
a l a g a	alag	3sgPres
a l a g a m o s	alag	1plPres
a l a g a i s	alag	2plPres
a d w e ñ o	adweñ	1sgPres
a d w e ñ a s	adweñ	2sgPres
a d w e ñ a n	adweñ	3plPres
a d w e ñ a	adweñ	3sgPres
a d w e ñ a m o s	adweñ	1plPres
a d w e ñ a i s	adweñ	2plPres
a t e N g o	aten	1sgPres
a t j e n e s	aten	2sgPres
a t j e n e n	aten	3plPres
a t j e n e	aten	3sgPres
a t e n e m o s	aten	1plPres
a t e n e i s	aten	2plPres
k o n f i o	konfj	1sgPres
k o n f i a s	konfj	2sgPres
k o n f i a n	konfj	3plPres
k o n f i a	konfj	3sgPres
k o n f j a m o s	konfj	1plPres
k o n f j a i s	konfj	2plPres
i n s t o	inst	1sgPres
i n s t a s	inst	2sgPres
i n s t a n	inst	3plPres
i n s t a	inst	3sgPres
i n s t a m o s	inst	1plPres
i n s t a i s	inst	2plPres
t r a n s p a r e n t o	transparent	1sgPres
t r a n s p a r e n t a s	transparent	2sgPres
t r a n s p a r e n t a n	transparent	3plPres
t r a n s p a r e n t a	transparent	3sgPres
